customer_name,order_date,phone_number,region,order_amount,quantity
Customer 41,02/10/2024,406.456.2924,North,204.8,14
Customer 42,11-Feb-2024,5840349946,North,297.36,9
Customer 43,2024/02/12,,East,211.08,8
Customer 44,"February 13, 2024",399.290.7437,West,266.4,17
Customer 45,02/14/2024,6103712002,South,298.8,2
Customer 46,15-Feb-2024,(420) 079-1212,North,208.82,3
Customer 47,2024/02/16,609.799.9128,East,267.88,8
Customer 48,"February 17, 2024",6394173848,West,310.12,12
Customer 49,02/18/2024,(394) 872-0231,West,175.71,1
Customer 50,19-Feb-2024,067.640.6682,West,251.49,10
Customer 51,2024/02/20,8003852038,South,-120.0,3
Customer 52,"February 21, 2024",,North,179.53,6
Customer 53,02/22/2024,343.468.6499,West,157.81,7
Customer 54,23-Feb-2024,6942618990,East,178.56,18
Customer 55,2024/02/24,(567) 981-9144,South,253.6,11
Customer 56,"February 25, 2024",527.053.0683,West,153.35,19
Customer 57,02/26/2024,3525699262,West,216.96,5
Customer 58,,(193) 786-0280,East,298.79,19
Customer 59,2024/02/28,870.545.9454,East,276.94,11
Customer 60,"February 29, 2024",4322381800,South,218.17,12
Customer 61,03/01/2024,(455) 268-9757,East,351.38,10
Customer 62,02-Mar-2024,479.397.9148,East,363.58,8
Customer 63,2024/03/03,3508043251,West,251.57,9
Customer 64,"March 04, 2024",(248) 197-1467,West,101.89,4
Customer 65,03/05/2024,050.104.9850,West,303.19,5
Customer 66,06-Mar-2024,0182046504,North,112.36,8
Customer 67,2024/03/07,(452) 464-4499,West,338.57,9
Customer 68,"March 08, 2024",204.802.3007,West,315.02,15
Customer 69,03/09/2024,1769915521,East,356.45,15
Customer 70,10-Mar-2024,(054) 806-4412,West,265.62,16
Customer 71,2024/03/11,651.511.1213,West,228.32,14
Customer 72,"March 12, 2024",8507692043,South,222.99,8
Customer 73,03/13/2024,(970) 903-7415,East,217.22,18
Customer 74,14-Mar-2024,412.866.5737,North,308.86,10
Customer 75,2024/03/15,3782219224,South,292.74,6
Customer 76,"March 16, 2024",(419) 545-0489,East,257.21,12
Customer 77,03/17/2024,109.898.8570,West,206.67,2
Customer 78,18-Mar-2024,9307023759,North,407.75,7
Customer 79,2024/03/19,(671) 972-6261,North,304.74,16
Customer 80,"March 20, 2024",952.286.4968,East,,3
Customer 81,03/21/2024,0659803839,North,219.02,13
Customer 82,22-Mar-2024,(281) 351-7702,North,305.91,3
Customer 83,2024/03/23,984.539.1754,North,202.03,18
Customer 84,"March 24, 2024",8045455637,North,271.09,11
Customer 85,03/25/2024,(686) 227-4375,North,307.05,8
Customer 86,26-Mar-2024,133.550.7528,South,46.69,6
Customer 87,2024/03/27,1792459532,South,243.52,1
Customer 88,"March 28, 2024",(303) 009-5432,West,,1
Customer 89,03/29/2024,051.794.6917,East,225.28,8
Customer 90,30-Mar-2024,1304808756,West,268.1,5
Customer 91,2024/03/31,(204) 147-8122,North,289.45,16
Customer 92,"April 01, 2024",075.784.2444,North,258.52,11
Customer 93,04/02/2024,2938981776,East,227.57,5
Customer 94,03-Apr-2024,(725) 060-8006,North,287.96,4
Customer 95,,147.726.2552,East,252.94,6
Customer 96,"April 05, 2024",6279303635,East,236.16,14
Customer 97,04/06/2024,(804) 603-5194,East,171.26,19
Customer 98,07-Apr-2024,905.537.3774,North,156.24,9
Customer 99,2024/04/08,3122339439,South,170.13,12
Customer 100,,(755) 769-9718,East,,11
Customer 101,04/10/2024,073.347.4790,North,245.26,14
Customer 102,11-Apr-2024,9852785604,East,161.18,16
Customer 103,2024/04/12,(493) 568-0562,West,288.76,1
Customer 104,,748.489.3849,,332.46,13
Customer 105,04/14/2024,8238951611,North,214.09,13
Customer 106,15-Apr-2024,(025) 786-3547,West,145.54,2
Customer 107,2024/04/16,005.914.0603,East,207.45,4
Customer 108,"April 17, 2024",8035570606,South,301.27,6
Customer 109,04/18/2024,(272) 072-1021,North,282.91,5
Customer 110,19-Apr-2024,150.152.3076,West,194.65,3
Customer 111,2024/04/20,6299210661,North,341.27,1
Customer 112,"April 21, 2024",(670) 862-7675,South,,4
Customer 113,04/22/2024,842.207.1277,North,206.02,2
Customer 114,23-Apr-2024,3345461696,West,205.4,5
Customer 115,2024/04/24,,West,214.43,3
Customer 116,"April 25, 2024",391.266.3445,West,219.56,9
Customer 117,04/26/2024,8142395709,South,307.03,6
Customer 118,27-Apr-2024,(760) 120-8718,North,275.52,18
Customer 119,2024/04/28,685.539.9164,East,302.62,6
Customer 120,"April 29, 2024",5149385104,East,290.41,19
Customer 121,04/30/2024,(859) 649-5485,North,8800.0,12
Customer 122,01-May-2024,718.469.0949,East,186.44,11
Customer 123,2024/05/02,1502432947,,272.82,2
Customer 124,"May 03, 2024",(306) 725-1675,West,119.57,15
Customer 125,05/04/2024,547.093.3223,West,170.98,12
Customer 126,05-May-2024,0189148870,West,245.51,12
Customer 127,2024/05/06,(087) 986-2214,North,275.09,9
Customer 128,"May 07, 2024",251.240.0986,East,243.89,2
Customer 129,05/08/2024,0727406455,,215.97,3
Customer 130,09-May-2024,(781) 898-9960,North,,12
Customer 131,2024/05/10,694.596.4682,East,332.17,16
Customer 132,"May 11, 2024",7161362196,East,226.96,1
Customer 133,05/12/2024,(072) 124-7966,East,354.95,3
Customer 134,13-May-2024,670.358.1091,East,297.64,2
Customer 135,2024/05/14,6291612630,West,277.45,9
Customer 136,"May 15, 2024",(487) 898-6340,West,178.38,19
Customer 137,05/16/2024,027.131.4804,North,306.11,15
Customer 138,17-May-2024,8087394456,West,220.37,18
Customer 139,2024/05/18,(771) 863-3735,North,178.33,11
Customer 140,"May 19, 2024",429.189.8092,South,280.77,16
Customer 141,05/20/2024,7544560823,South,166.72,17
Customer 142,21-May-2024,(909) 211-0722,East,204.27,5
Customer 143,2024/05/22,578.834.1872,South,249.39,12
Customer 144,"May 23, 2024",8281987841,West,383.11,11
Customer 145,05/24/2024,(757) 491-5440,East,208.79,15
Customer 146,25-May-2024,172.927.7170,East,222.51,3
Customer 147,2024/05/26,,North,293.94,1
Customer 148,"May 27, 2024",(564) 982-6994,West,175.7,16
Customer 149,05/28/2024,613.161.0807,West,276.57,2
Customer 150,29-May-2024,1725269814,West,322.36,2
Customer 151,2024/05/30,(533) 313-0509,North,231.57,3
Customer 152,"May 31, 2024",505.971.1323,North,311.57,8
Customer 153,06/01/2024,6052969113,North,267.49,15
Customer 154,02-Jun-2024,(028) 663-1352,North,,7
Customer 155,2024/06/03,074.435.2842,South,238.13,6
Customer 156,"June 04, 2024",0951208717,West,227.21,9
Customer 157,06/05/2024,(804) 713-6247,South,244.74,1
Customer 158,06-Jun-2024,923.860.3385,North,259.16,8
Customer 159,2024/06/07,,South,285.29,3
Customer 160,"June 08, 2024",(411) 580-5875,North,280.52,4
Customer 161,06/09/2024,278.085.5309,North,104.1,15
Customer 162,10-Jun-2024,7101008039,South,244.16,6
Customer 163,2024/06/11,(561) 569-9119,South,159.43,15
Customer 164,"June 12, 2024",607.258.5868,West,233.46,3
Customer 165,,1771363359,,242.57,14
Customer 166,14-Jun-2024,(592) 891-5682,South,308.57,14
Customer 167,2024/06/15,926.376.4621,South,248.19,4
Customer 168,"June 16, 2024",5125478292,West,265.55,12
Customer 169,06/17/2024,(250) 604-9734,South,297.58,17
Customer 170,18-Jun-2024,337.102.8394,North,323.67,7
Customer 171,2024/06/19,1311356922,West,242.62,9
Customer 172,"June 20, 2024",(952) 174-0297,North,255.65,3
Customer 173,06/21/2024,369.164.4585,East,250.6,13
Customer 174,22-Jun-2024,7683165088,East,217.44,15
Customer 175,2024/06/23,(124) 407-7369,South,203.85,18
Customer 176,"June 24, 2024",259.980.4370,South,113.69,19
Customer 177,06/25/2024,8538444007,West,185.4,1
Customer 178,26-Jun-2024,(753) 118-4390,North,143.28,6
Customer 179,2024/06/27,625.444.0029,North,325.31,2
Customer 180,"June 28, 2024",3417181867,West,261.3,14
Customer 181,06/29/2024,(165) 363-1967,East,242.44,6
Customer 182,30-Jun-2024,140.675.4510,North,206.95,14
Customer 183,2024/07/01,6699110977,West,251.79,4
Customer 184,"July 02, 2024",(078) 300-2448,South,199.12,8
Customer 185,07/03/2024,911.580.8884,West,260.44,3
Customer 186,04-Jul-2024,8315352511,West,,19
Customer 187,2024/07/05,(862) 075-6840,East,198.32,14
Customer 188,"July 06, 2024",964.280.0025,East,197.17,17
Customer 189,07/07/2024,9279182497,,307.73,8
Customer 190,,,North,246.83,14
Customer 191,2024/07/09,,West,203.14,6
Customer 192,"July 10, 2024",4521343279,North,227.77,16
Customer 193,07/11/2024,(311) 039-8696,South,189.36,19
Customer 194,12-Jul-2024,670.997.3335,South,245.97,14
Customer 195,2024/07/13,6507965545,West,299.9,19
Customer 196,"July 14, 2024",(898) 979-8977,,248.34,3
Customer 197,,094.317.2369,North,391.82,10
Customer 198,16-Jul-2024,8123906140,North,275.28,19
Customer 199,2024/07/17,(210) 640-5426,West,263.8,9
Customer 200,"July 18, 2024",988.812.6412,South,195.5,13
Customer 59,2024/02/28,870.545.9454,East,276.94,11
Customer 41,02/10/2024,406.456.2924,North,204.8,14
Customer 35,2024/02/04,683.307.2611,South,209.44,7
Customer 103,2024/04/12,(493) 568-0562,West,288.76,1
Customer 185,07/03/2024,911.580.8884,West,260.44,3
Customer 199,2024/07/17,(210) 640-5426,West,263.8,9
Customer 96,"April 05, 2024",6279303635,East,236.16,14
Customer 5,01/05/2024,819.894.1367,North,151.06,11
Customer 30,30-Jan-2024,4232004528,East,212.26,6
Customer 169,06/17/2024,(250) 604-9734,South,297.58,17
